id_cliente,nome_cliente,sobrenome_cliente,data_nascimento,sexo,email_cliente,aceita_receber_newsletter,celular_cliente,whatsapp,aceita_receber_mensagens,fixo_cliente,logradouro,numero,bairro,cep,estado,ticket_medio,produtos_saudaveis_percentual
134,Bailey,Fairley,1968-08-01 06:13:22.143596,Outros,bfairley3p@hotmail.com,Sim,684-178-1094,Não,Sim,616-536-3678,Farragut,953,Tijuca,205006-000,RJ,430.47,26.03
135,Sibbie,Cars,2007-08-12 06:13:22.143596,Feminino,scars3q@gmail.com,Não,700-253-1166,Não,Não,179-105-4196,Fulton,716,Copacabana,220004-000,RJ,345.58,75.66
136,Blayne,Greed,1975-02-13 06:13:22.143596,Masculino,bgreed3r@hotmail.com,Sim,947-697-0032,Sim,Sim,766-466-0136,Vahlen,51118,Tijuca,205001-000,RJ,263.19,95.45
137,Bernete,Pirkis,1993-07-22 06:13:22.143596,Feminino,bpirkis3s@hotmail.com,Sim,661-672-0531,Sim,Sim,399-553-2337,Daystar,85210,Tijuca,205002-000,RJ,235.19,54.69
138,Renelle,Cowle,1961-10-03 06:13:22.143596,Feminino,rcowle3t@hotmail.com,Sim,351-349-1551,Sim,Não,520-487-8655,Memorial,131,Copacabana,220008-000,RJ,164.97,48.52
139,Benoit,Fochs,1981-03-16 06:13:22.143596,Masculino,bfochs3u@gmail.com,Sim,568-891-5373,Sim,Não,538-854-1620,West,8,Copacabana,220004-000,RJ,421.37,56.37
140,Dru,Maciaszek,1973-12-22 06:13:22.143596,Outros,dmaciaszek3v@hotmail.com,Sim,998-307-8451,Sim,Não,323-421-7197,Park Meadow,6,Copacabana,220001-000,RJ,69.95,28.41
141,Richardo,Scriviner,1983-08-06 06:13:22.143596,Masculino,rscriviner3w@hotmail.com,Sim,217-372-8969,Não,Não,997-393-7075,Everett,442,Tijuca,205002-000,RJ,473.93,60.58
142,Derry,Gerrish,1997-04-22 06:13:22.143596,Masculino,dgerrish3x@hotmail.com,Não,736-556-9726,Sim,Sim,517-921-5397,Jenna,3,Tijuca,205005-000,RJ,52.6,61.2
143,Genovera,Bartos,1995-03-25 06:13:22.143596,Feminino,gbartos3y@gmail.com,Sim,797-606-6782,Sim,Não,154-523-6540,Hoepker,49790,Tijuca,205004-000,RJ,168.52,14.74
144,Marie-jeanne,Cobbold,1995-02-02 06:13:22.143596,Feminino,mcobbold3z@hotmail.com,Não,806-959-4015,Não,Sim,153-337-9037,Muir,84414,Copacabana,220009-000,RJ,233.26,10.6
145,Town,Trustram,1963-08-23 06:13:22.143596,Masculino,ttrustram40@hotmail.com,Não,637-786-4104,Não,Sim,801-517-3671,Fallview,57321,Copacabana,220003-000,RJ,329.05,51.01
146,Salomone,Ipsley,1974-06-01 06:13:22.143596,Masculino,sipsley41@hotmail.com,Sim,739-862-9384,Sim,Sim,585-669-7480,Bay,6,Copacabana,220003-000,RJ,335.88,24.31
147,Asa,Rackley,1977-08-18 06:13:22.143596,Masculino,arackley42@gmail.com,Sim,913-993-7218,Sim,Não,359-393-0024,Prairieview,6605,Tijuca,205009-000,RJ,418.05,97.51
148,Diego,Thieme,1965-03-09 06:13:22.143596,Outros,dthieme43@hotmail.com,Não,627-210-7802,Não,Não,509-641-9224,Mandrake,467,Barra da Tijuca,226003-000,RJ,128.98,69.51
149,Abbi,Pauncefoot,1972-03-10 06:13:22.143596,Feminino,apauncefoot44@hotmail.com,Não,180-413-8508,Sim,Sim,734-360-3384,Lakewood Gardens,2,Copacabana,220004-000,RJ,315.05,94.24
150,Mildrid,Cattermole,1968-07-26 06:13:22.143596,Feminino,mcattermole45@hotmail.com,Não,408-846-6312,Não,Sim,634-734-4006,Becker,22,Barra da Tijuca,226002-000,RJ,409.35,67.82
151,Willem,Plank,2005-03-10 06:13:22.143596,Outros,wplank46@gmail.com,Sim,732-938-3880,Não,Não,605-711-0248,Vernon,83,Barra da Tijuca,226003-000,RJ,197.93,82.4
152,Maryanna,Calafate,2000-09-10 06:13:22.143596,Feminino,mcalafate47@gmail.com,Não,865-756-8900,Sim,Não,990-164-2213,David,60,Barra da Tijuca,226002-000,RJ,278.49,33.2
153,Klement,Collett,2007-06-09 06:13:22.143596,Masculino,kcollett48@hotmail.com,Não,645-351-7588,Sim,Sim,431-426-4261,Division,240,Copacabana,220005-000,RJ,487.99,56.84
154,Haley,McCloid,1990-02-20 06:13:22.143596,Outros,hmccloid49@hotmail.com,Sim,981-694-8424,Não,Sim,270-322-3616,Troy,363,Tijuca,205001-000,RJ,219.48,86.61
155,Elene,Eronie,1978-11-27 06:13:22.143596,Feminino,eeronie4a@gmail.com,Sim,387-274-9878,Não,Não,998-378-1826,Muir,354,Tijuca,205003-000,RJ,147.68,0.3
156,Buffy,Ledwith,1992-01-20 06:13:22.143596,Feminino,bledwith4b@gmail.com,Não,377-550-2558,Sim,Não,749-168-0943,Meadow Vale,527,Tijuca,205001-000,RJ,148.31,6.76
157,Jillene,Lidell,1979-09-12 06:13:22.143596,Feminino,jlidell4c@gmail.com,Não,569-396-1884,Sim,Sim,579-982-9401,Nelson,30,Tijuca,205002-000,RJ,145.13,4.56
158,Demetri,Struys,1965-01-27 06:13:22.143596,Masculino,dstruys4d@gmail.com,Não,220-158-5240,Sim,Sim,626-159-9958,Maple Wood,87,Barra da Tijuca,226009-000,RJ,150.17,42.56
159,Lin,Woolvin,1963-09-15 06:13:22.143596,Feminino,lwoolvin4e@hotmail.com,Não,594-926-1544,Sim,Sim,198-476-1707,Sundown,0,Copacabana,220002-000,RJ,128.09,55.53
160,Rita,Chowne,1984-10-16 06:13:22.143596,Feminino,rchowne4f@hotmail.com,Sim,193-569-2123,Sim,Não,161-825-2597,North,698,Tijuca,205003-000,RJ,465.05,98.31
161,Lammond,Corcoran,2004-09-30 06:13:22.143596,Masculino,lcorcoran4g@hotmail.com,Sim,952-473-7168,Não,Não,941-189-8388,Birchwood,841,Tijuca,205005-000,RJ,448.83,34.68
162,Sandie,Ineson,1966-10-13 06:13:22.143596,Feminino,sineson4h@gmail.com,Sim,859-699-3165,Sim,Não,126-671-2762,Tony,4,Tijuca,205007-000,RJ,410.5,50.85
163,Conney,Burgis,1976-02-04 06:13:22.143596,Masculino,cburgis4i@gmail.com,Sim,183-462-6120,Não,Não,538-907-4668,Straubel,63621,Copacabana,220003-000,RJ,385.39,21.8
164,Ulrick,Momery,2002-11-27 06:13:22.143596,Masculino,umomery4j@gmail.com,Sim,530-501-4203,Sim,Não,595-755-4663,Atwood,8,Copacabana,220001-000,RJ,402.19,38.22
165,Boycey,Al Hirsi,1986-05-25 06:13:22.143596,Masculino,balhirsi4k@gmail.com,Sim,945-751-9679,Sim,Sim,889-235-0531,Brickson Park,24,Barra da Tijuca,226006-000,RJ,408.94,27.9
166,Cirilo,Light,1999-05-27 06:13:22.143596,Masculino,clight4l@hotmail.com,Sim,148-272-9517,Sim,Não,183-102-5600,Shelley,4634,Copacabana,220002-000,RJ,162.46,97.98
167,Kellsie,Ludlom,1974-10-15 06:13:22.143596,Feminino,kludlom4m@gmail.com,Sim,671-310-8284,Sim,Sim,527-728-8051,Rutledge,33,Barra da Tijuca,226009-000,RJ,376.94,62.36
168,Estel,Billborough,2007-02-21 06:13:22.143596,Feminino,ebillborough4n@hotmail.com,Sim,171-593-9676,Não,Sim,888-782-1484,Erie,3,Barra da Tijuca,226009-000,RJ,452.35,27.43
169,Emelda,Roskilly,2000-04-05 06:13:22.143596,Feminino,eroskilly4o@hotmail.com,Não,121-746-8434,Sim,Sim,452-136-9295,Reinke,2,Barra da Tijuca,226006-000,RJ,324.44,88.32
170,Leif,Yeeles,1974-09-30 06:13:22.143596,Masculino,lyeeles4p@hotmail.com,Sim,596-743-7282,Não,Não,185-554-9031,Jenna,93741,Barra da Tijuca,226001-000,RJ,490.29,4.56
171,Amata,Callicott,1995-07-04 06:13:22.143596,Feminino,acallicott4q@hotmail.com,Não,917-213-3371,Sim,Não,997-351-4885,Fulton,2,Barra da Tijuca,226003-000,RJ,484.55,4.2
172,Frederic,McCrea,1977-06-15 06:13:22.143596,Masculino,fmccrea4r@hotmail.com,Não,932-555-3002,Não,Sim,739-974-0669,Talmadge,549,Barra da Tijuca,226006-000,RJ,245.39,3.72
173,Zack,Turl,1996-12-02 06:13:22.143596,Masculino,zturl4s@gmail.com,Sim,976-491-9861,Sim,Sim,515-796-8874,Grayhawk,40101,Copacabana,220007-000,RJ,458.82,16.28
174,Erich,China,1988-08-25 06:13:22.143596,Masculino,echina4t@gmail.com,Não,314-335-0613,Não,Sim,461-552-4133,Basil,6800,Barra da Tijuca,226006-000,RJ,97.84,27.51
175,Kora,Sleney,1972-03-25 06:13:22.143596,Feminino,ksleney4u@gmail.com,Não,976-405-1768,Não,Não,794-350-0478,Coolidge,5,Copacabana,220005-000,RJ,137.49,98.95
176,Kerri,Khomishin,1962-10-12 06:13:22.143596,Outros,kkhomishin4v@gmail.com,Não,740-148-6987,Sim,Não,482-128-2430,Paget,83,Barra da Tijuca,226002-000,RJ,283.93,63.13
177,Berny,Yard,1971-02-16 06:13:22.143596,Masculino,byard4w@hotmail.com,Sim,148-841-2854,Sim,Sim,136-406-6862,Monica,0,Tijuca,205002-000,RJ,384.85,30.19
178,Ronni,Campion,1975-12-11 06:13:22.143596,Feminino,rcampion4x@hotmail.com,Não,579-358-7164,Sim,Não,509-600-1292,Claremont,3,Barra da Tijuca,226009-000,RJ,332.19,90.69
179,Simmonds,McClean,1987-12-07 06:13:22.143596,Masculino,smcclean4y@gmail.com,Não,383-143-9464,Não,Sim,181-860-9622,Superior,704,Barra da Tijuca,226009-000,RJ,343.44,52.48
180,Terencio,Shearsby,1975-01-07 06:13:22.143596,Masculino,tshearsby4z@gmail.com,Não,647-239-4349,Sim,Sim,207-924-3635,International,67,Barra da Tijuca,226001-000,RJ,227.44,26.0
181,Herb,Greggs,1962-10-31 06:13:22.143596,Masculino,hgreggs50@gmail.com,Não,242-587-2779,Sim,Não,506-383-9062,Marquette,2,Copacabana,220004-000,RJ,442.71,79.8
182,Bernadette,Hilley,1989-04-14 06:13:22.143596,Feminino,bhilley51@hotmail.com,Não,294-966-9677,Não,Não,702-117-1100,Caliangt,711,Tijuca,205006-000,RJ,141.52,62.76
183,Lorrie,Egglestone,1998-10-07 06:13:22.143596,Masculino,legglestone52@gmail.com,Não,219-755-1096,Não,Sim,271-505-7738,Mosinee,51234,Barra da Tijuca,226005-000,RJ,387.13,6.79
184,Kelby,Pettengell,1975-03-05 06:13:22.143596,Masculino,kpettengell53@gmail.com,Sim,753-810-9950,Sim,Sim,670-823-2409,Red Cloud,2602,Tijuca,205005-000,RJ,55.84,24.09
185,Erastus,Montford,2001-02-12 06:13:22.143596,Masculino,emontford54@hotmail.com,Sim,174-326-5497,Não,Sim,113-958-8910,Melvin,837,Copacabana,220008-000,RJ,90.72,10.2
186,Vassily,Keyme,1987-05-24 06:13:22.143596,Masculino,vkeyme55@gmail.com,Sim,406-126-0990,Não,Sim,887-820-5131,Knutson,73462,Barra da Tijuca,226005-000,RJ,308.96,47.18
187,Megen,Suthworth,2005-09-13 06:13:22.143596,Outros,msuthworth56@hotmail.com,Não,409-155-1323,Sim,Sim,389-825-1918,Glacier Hill,81031,Tijuca,205009-000,RJ,410.62,60.9
188,Virgil,Daile,1972-01-11 06:13:22.143596,Masculino,vdaile57@hotmail.com,Sim,535-781-0513,Não,Não,942-114-2992,Menomonie,52,Barra da Tijuca,226006-000,RJ,316.75,45.26
189,Cynthie,Spurden,1985-06-17 06:13:22.143596,Feminino,cspurden58@gmail.com,Sim,512-276-7694,Não,Não,192-558-8945,North,2,Barra da Tijuca,226003-000,RJ,302.18,8.92
190,Hagen,Baseley,1986-07-06 06:13:22.143596,Masculino,hbaseley59@gmail.com,Sim,972-310-5494,Sim,Não,312-645-7843,Gateway,3932,Barra da Tijuca,226008-000,RJ,422.72,61.06
191,Urson,Denton,1975-06-29 06:13:22.143596,Masculino,udenton5a@hotmail.com,Sim,747-484-9227,Não,Sim,915-883-5428,Rutledge,83676,Barra da Tijuca,226005-000,RJ,347.42,68.83
192,Waylon,Dartnell,1993-03-09 06:13:22.143596,Masculino,wdartnell5b@gmail.com,Sim,776-578-4234,Não,Sim,765-545-4450,Birchwood,37268,Copacabana,220006-000,RJ,251.38,22.62
193,Bekki,Cuttell,1987-10-03 06:13:22.143596,Feminino,bcuttell5c@hotmail.com,Sim,305-689-1785,Sim,Sim,573-678-9328,Merchant,4,Barra da Tijuca,226006-000,RJ,467.87,51.88
194,Gordon,Nanetti,1978-02-14 06:13:22.143596,Masculino,gnanetti5d@gmail.com,Sim,702-814-6413,Não,Sim,357-751-3584,Marcy,6655,Barra da Tijuca,226001-000,RJ,305.96,65.34
195,Dennis,Franz-Schoninger,1993-06-16 06:13:22.143596,Masculino,dfranzschoninger5e@gmail.com,Sim,507-577-3412,Sim,Não,322-108-8210,International,6129,Barra da Tijuca,226001-000,RJ,261.25,88.13
196,Nikola,Lyver,1968-11-18 06:13:22.143596,Outros,nlyver5f@gmail.com,Sim,882-558-3679,Sim,Não,686-386-6016,Westridge,94507,Copacabana,220008-000,RJ,241.62,59.16
197,Mandy,Rayne,1983-11-13 06:13:22.143596,Feminino,mrayne5g@gmail.com,Não,968-286-3823,Sim,Não,104-525-0035,Mallard,59,Tijuca,205001-000,RJ,272.9,69.83
198,Hoebart,Shapira,1966-02-06 06:13:22.143596,Masculino,hshapira5h@hotmail.com,Não,494-211-0571,Sim,Não,126-907-5974,Fairfield,105,Copacabana,220008-000,RJ,350.06,49.89
199,Kailey,Baise,1994-10-31 06:13:22.143596,Feminino,kbaise5i@hotmail.com,Sim,485-763-1883,Sim,Sim,621-837-9781,Jay,0,Barra da Tijuca,226008-000,RJ,183.18,58.87
200,Thoma,Justis,1993-10-31 06:13:22.143596,Masculino,tjustis5j@hotmail.com,Não,390-265-6662,Sim,Não,824-938-4633,Gateway,4575,Copacabana,220007-000,RJ,134.71,61.3
201,Bo,Glanders,1975-03-01 06:13:22.143596,Masculino,bglanders5k@gmail.com,Sim,239-970-8261,Não,Não,111-985-5672,Superior,4,Barra da Tijuca,226005-000,RJ,342.3,19.86
202,Rorke,Benford,1999-08-26 06:13:22.143596,Masculino,rbenford5l@hotmail.com,Não,274-778-7135,Não,Sim,709-805-4640,Troy,13,Copacabana,220001-000,RJ,63.94,76.55
203,Brinn,Orwin,2005-03-04 06:13:22.143596,Feminino,borwin5m@hotmail.com,Sim,124-545-5759,Não,Sim,772-299-0656,Sachs,417,Copacabana,220006-000,RJ,285.26,38.53
204,Arly,Camous,1966-09-25 06:13:22.143596,Outros,acamous5n@hotmail.com,Sim,814-771-5070,Não,Sim,579-504-3585,Gateway,17,Barra da Tijuca,226009-000,RJ,465.81,2.4
205,Ulla,Wills,1984-08-30 06:13:22.143596,Feminino,uwills5o@hotmail.com,Sim,977-918-1398,Sim,Sim,475-332-4661,Forest Dale,661,Tijuca,205009-000,RJ,293.58,42.46
206,Alonso,Caudell,1990-09-18 06:13:22.143596,Masculino,acaudell5p@hotmail.com,Não,952-327-1925,Sim,Sim,706-550-0627,Farragut,536,Tijuca,205001-000,RJ,98.3,83.26
207,Cherey,Noulton,1975-10-23 06:13:22.143596,Feminino,cnoulton5q@gmail.com,Sim,124-185-5592,Não,Não,983-825-0521,Iowa,33,Tijuca,205007-000,RJ,146.99,87.0
208,Siusan,Huzzey,1977-05-09 06:13:22.143596,Feminino,shuzzey5r@gmail.com,Sim,381-216-5789,Não,Sim,330-529-1323,Ohio,2,Tijuca,205003-000,RJ,438.5,89.37
209,Priscella,Cabral,1966-02-05 06:13:22.143596,Feminino,pcabral5s@hotmail.com,Não,918-163-7937,Não,Sim,751-296-9692,Corry,73,Barra da Tijuca,226002-000,RJ,334.15,34.62
210,Addie,Eltune,1977-12-24 06:13:22.143596,Feminino,aeltune5t@hotmail.com,Sim,475-497-2910,Não,Não,543-616-5266,Continental,3190,Copacabana,220009-000,RJ,373.15,16.42
211,Lock,Mudle,2000-02-01 06:13:22.143596,Masculino,lmudle5u@hotmail.com,Não,516-606-4515,Não,Não,101-672-0333,Blackbird,5023,Copacabana,220008-000,RJ,484.84,31.42
212,Delcina,Martindale,2000-06-17 06:13:22.143596,Feminino,dmartindale5v@hotmail.com,Sim,318-144-7868,Não,Não,183-534-5910,Shelley,1,Barra da Tijuca,226001-000,RJ,395.73,53.49
213,Gallard,Teenan,1981-08-28 06:13:22.143596,Masculino,gteenan5w@gmail.com,Não,416-128-4042,Sim,Não,533-550-1186,Prentice,88,Copacabana,220006-000,RJ,423.84,49.2
214,Maryellen,Korf,1963-03-13 06:13:22.143596,Feminino,mkorf5x@gmail.com,Não,847-906-8336,Sim,Sim,566-281-7893,7th,5,Copacabana,220002-000,RJ,100.72,89.99
215,Jeanette,Arderne,1995-11-07 06:13:22.143596,Outros,jarderne5y@hotmail.com,Não,427-559-8823,Não,Sim,310-983-1563,Larry,610,Tijuca,205007-000,RJ,59.12,91.54
216,Octavius,Bothe,1990-07-15 06:13:22.143596,Masculino,obothe5z@hotmail.com,Sim,235-276-6617,Sim,Sim,199-428-8864,Thackeray,9837,Tijuca,205001-000,RJ,135.05,98.95
217,Geraldine,Garrat,1974-12-11 06:13:22.143596,Feminino,ggarrat60@hotmail.com,Sim,680-309-0056,Sim,Não,286-271-5462,Bartelt,21635,Tijuca,205009-000,RJ,456.4,63.13
218,Ardis,Frape,2000-08-25 06:13:22.143596,Outros,afrape61@hotmail.com,Sim,566-545-6622,Não,Sim,476-434-0503,Novick,62,Tijuca,205008-000,RJ,329.38,23.84
219,Byron,MacCoveney,1988-07-09 06:13:22.143596,Masculino,bmaccoveney62@gmail.com,Sim,262-650-5993,Não,Sim,727-815-9471,Killdeer,9959,Tijuca,205002-000,RJ,55.0,26.84
220,Tyrus,Gravestone,1985-12-17 06:13:22.143596,Masculino,tgravestone63@gmail.com,Sim,431-232-3665,Não,Não,982-553-1442,Lakeland,4881,Barra da Tijuca,226005-000,RJ,237.02,37.91
221,Farrand,Seaward,1993-08-29 06:13:22.143596,Outros,fseaward64@hotmail.com,Sim,959-278-6901,Não,Sim,750-957-0549,Clarendon,688,Tijuca,205001-000,RJ,385.15,55.28
222,Nerissa,Mulran,1987-06-06 06:13:22.143596,Feminino,nmulran65@hotmail.com,Não,796-702-7709,Sim,Não,644-769-7184,Kings,8,Barra da Tijuca,226002-000,RJ,219.69,82.87
223,Torrance,Clowley,1989-08-09 06:13:22.143596,Masculino,tclowley66@gmail.com,Não,699-120-0143,Não,Sim,749-166-8808,Milwaukee,4,Barra da Tijuca,226002-000,RJ,486.97,59.9
224,Verna,Riby,1972-12-13 06:13:22.143596,Feminino,vriby67@gmail.com,Não,424-747-6544,Sim,Sim,890-660-9344,Pawling,5,Tijuca,205006-000,RJ,106.47,10.68
225,Vergil,Jaeggi,1967-07-15 06:13:22.143596,Masculino,vjaeggi68@hotmail.com,Sim,143-663-2190,Não,Sim,321-916-2426,Carpenter,105,Copacabana,220006-000,RJ,335.71,73.04
226,Madge,Gilffilland,2002-04-18 06:13:22.143596,Feminino,mgilffilland69@hotmail.com,Não,403-860-2237,Não,Não,234-879-7068,Sutherland,12130,Tijuca,205009-000,RJ,138.66,32.65
227,Tisha,Macauley,2001-11-01 06:13:22.143596,Feminino,tmacauley6a@hotmail.com,Não,675-732-5252,Não,Não,532-633-4905,Shasta,31483,Tijuca,205005-000,RJ,486.32,57.69
228,Nehemiah,Baldelli,1996-08-04 06:13:22.143596,Outros,nbaldelli6b@hotmail.com,Não,464-311-2312,Não,Não,343-655-0370,Express,86810,Barra da Tijuca,226004-000,RJ,242.68,97.98
229,Janna,Polk,1987-07-06 06:13:22.143596,Outros,jpolk6c@gmail.com,Sim,503-274-2500,Sim,Sim,810-816-7051,Melody,80974,Tijuca,205008-000,RJ,137.17,59.2
230,Flin,Sabatier,1999-03-17 06:13:22.143596,Masculino,fsabatier6d@gmail.com,Não,691-281-0928,Sim,Não,526-363-4114,Morrow,55,Copacabana,220004-000,RJ,347.3,39.15
231,Chrystal,Hallick,1991-09-09 06:13:22.143596,Feminino,challick6e@hotmail.com,Sim,156-493-3705,Sim,Não,924-437-4749,Spohn,5,Tijuca,205005-000,RJ,174.37,5.45
232,Steffie,Grigoli,1961-08-15 06:13:22.143596,Feminino,sgrigoli6f@hotmail.com,Não,411-513-0796,Sim,Sim,753-913-5294,Tony,0,Copacabana,220001-000,RJ,68.82,38.52
233,Audrie,Simkiss,1985-12-04 06:13:22.143596,Feminino,asimkiss6g@hotmail.com,Não,564-382-7230,Sim,Sim,797-434-5899,Troy,305,Copacabana,220001-000,RJ,159.23,26.59
234,Torin,Strachan,2001-03-29 06:13:22.143596,Masculino,tstrachan6h@hotmail.com,Não,388-176-3704,Sim,Sim,502-127-4553,Bobwhite,22,Copacabana,220008-000,RJ,134.48,63.49
235,Myrwyn,Rubinfeld,1978-01-01 06:13:22.143596,Masculino,mrubinfeld6i@gmail.com,Sim,355-455-8939,Não,Sim,682-143-1366,Cottonwood,102,Copacabana,220001-000,RJ,183.07,50.47
236,Burt,Bedberry,1976-12-27 06:13:22.143596,Masculino,bbedberry6j@gmail.com,Sim,308-776-9396,Não,Sim,553-749-3982,International,59718,Tijuca,205004-000,RJ,294.67,59.82
237,Gregor,Weekly,1979-02-07 06:13:22.143596,Masculino,gweekly6k@gmail.com,Não,831-595-7802,Sim,Não,821-660-4257,Jay,42530,Barra da Tijuca,226009-000,RJ,274.91,32.97
238,Miranda,Truckell,1971-01-24 06:13:22.143596,Feminino,mtruckell6l@gmail.com,Sim,485-994-6536,Não,Sim,863-782-4128,Comanche,9,Tijuca,205002-000,RJ,269.14,90.99
239,Shandee,Varnals,1987-12-28 06:13:22.143596,Feminino,svarnals6m@gmail.com,Não,944-952-6306,Não,Sim,666-236-8203,Mifflin,1311,Barra da Tijuca,226004-000,RJ,107.79,63.53
240,Brittne,Duddle,2002-01-03 06:13:22.143596,Feminino,bduddle6n@gmail.com,Sim,633-244-8008,Não,Sim,913-131-2674,Rieder,8042,Copacabana,220002-000,RJ,136.11,37.63
241,Tess,Pauluzzi,1963-03-22 06:13:22.143596,Feminino,tpauluzzi6o@hotmail.com,Sim,504-612-8210,Não,Sim,181-921-0496,Mifflin,265,Copacabana,220008-000,RJ,420.46,78.07
242,Matthiew,Burstowe,1962-04-10 06:13:22.143596,Masculino,mburstowe6p@hotmail.com,Não,395-918-0006,Não,Não,627-345-2968,Graedel,61,Tijuca,205004-000,RJ,78.13,47.53
243,Britta,McShea,1979-10-11 06:13:22.143596,Feminino,bmcshea6q@gmail.com,Não,996-224-5750,Não,Não,635-562-3209,Holy Cross,46596,Copacabana,220001-000,RJ,467.5,17.64
244,Tory,Bailes,2003-01-19 06:13:22.143596,Outros,tbailes6r@hotmail.com,Não,967-853-6615,Não,Não,847-259-6442,Norway Maple,8871,Tijuca,205005-000,RJ,276.15,75.55
245,Laryssa,Roubeix,1993-04-17 06:13:22.143596,Feminino,lroubeix6s@hotmail.com,Sim,496-662-9520,Não,Não,750-979-0235,Moose,885,Copacabana,220006-000,RJ,90.02,63.94
246,Marsh,Ivanitsa,2003-04-30 06:13:22.143596,Masculino,mivanitsa6t@hotmail.com,Não,502-822-4358,Sim,Não,278-356-6955,Iowa,662,Barra da Tijuca,226001-000,RJ,268.28,13.24
247,Clare,Elintune,1998-10-30 06:13:22.143596,Feminino,celintune6u@hotmail.com,Sim,751-410-6931,Não,Sim,863-985-5565,Stuart,873,Barra da Tijuca,226009-000,RJ,65.74,38.47
248,Whittaker,Whawell,1966-05-24 06:13:22.143596,Masculino,wwhawell6v@gmail.com,Sim,608-751-3222,Não,Sim,230-214-2366,Surrey,8,Barra da Tijuca,226008-000,RJ,342.4,64.91
249,Bail,Quadri,2005-06-05 06:13:22.143596,Masculino,bquadri6w@gmail.com,Sim,915-822-6342,Não,Não,960-736-1582,Hermina,9916,Copacabana,220002-000,RJ,138.84,84.61
250,Madge,Brundill,1987-03-19 06:13:22.143596,Outros,mbrundill6x@hotmail.com,Sim,369-796-6791,Sim,Não,686-932-8014,Express,1,Tijuca,205003-000,RJ,451.96,71.93
251,Waylen,Islep,1963-07-04 06:13:22.143596,Masculino,wislep6y@hotmail.com,Sim,792-156-1515,Sim,Não,510-573-7296,Lake View,59,Tijuca,205009-000,RJ,366.42,68.02
252,Germaine,MacFadzan,2001-06-30 06:13:22.143596,Outros,gmacfadzan6z@hotmail.com,Sim,938-910-1783,Sim,Não,411-998-6307,Larry,13,Barra da Tijuca,226009-000,RJ,138.23,19.15
253,Lizzy,Presnail,1990-03-21 06:13:22.143596,Feminino,lpresnail70@hotmail.com,Não,294-275-4957,Não,Sim,872-488-9571,Mockingbird,89,Tijuca,205007-000,RJ,448.92,41.99
254,Lorry,Baus,1964-07-15 06:13:22.143596,Masculino,lbaus71@hotmail.com,Sim,602-991-8247,Não,Não,337-336-6885,Brickson Park,18,Barra da Tijuca,226004-000,RJ,394.86,77.69
255,Ephraim,Henkens,1967-07-19 06:13:22.143596,Masculino,ehenkens72@hotmail.com,Não,117-491-0972,Não,Não,387-552-3657,Annamark,91,Barra da Tijuca,226007-000,RJ,179.43,94.01
256,Mariya,Geldart,1965-01-07 06:13:22.143596,Feminino,mgeldart73@hotmail.com,Não,626-369-3505,Não,Sim,346-590-4655,Farragut,9,Barra da Tijuca,226004-000,RJ,120.56,63.33
257,Hertha,Dennistoun,2006-04-19 06:13:22.143596,Feminino,hdennistoun74@hotmail.com,Não,447-302-1697,Não,Sim,822-411-6382,6th,4,Copacabana,220003-000,RJ,490.0,19.78
258,Henderson,Perford,1969-12-08 06:13:22.143596,Masculino,hperford75@gmail.com,Sim,761-357-8384,Sim,Sim,616-982-9684,Roth,4128,Tijuca,205004-000,RJ,441.33,68.09
259,Cully,Gibb,1999-08-22 06:13:22.143596,Masculino,cgibb76@hotmail.com,Sim,521-499-4022,Não,Não,723-101-1578,Rusk,70867,Copacabana,220002-000,RJ,66.99,43.62
260,Donna,Georg,1982-01-06 06:13:22.143596,Feminino,dgeorg77@hotmail.com,Sim,186-968-6506,Não,Não,966-836-7529,Paget,265,Barra da Tijuca,226006-000,RJ,141.09,74.45
261,Stephani,Brownsmith,2005-07-16 06:13:22.143596,Feminino,sbrownsmith78@gmail.com,Sim,737-507-6584,Não,Não,515-769-0251,Merry,5,Barra da Tijuca,226001-000,RJ,116.53,76.57
262,Ross,Aucourte,1970-06-07 06:13:22.143596,Masculino,raucourte79@gmail.com,Sim,111-266-8736,Não,Sim,614-894-1490,Bay,44317,Copacabana,220001-000,RJ,220.17,19.73
263,Claudio,Klarzynski,1988-04-08 06:13:22.143596,Masculino,cklarzynski7a@hotmail.com,Sim,502-870-4793,Sim,Não,414-252-0652,Pierstorff,917,Tijuca,205001-000,RJ,417.98,31.65
264,Vally,Thieme,1969-08-07 06:13:22.143596,Feminino,vthieme7b@gmail.com,Não,506-511-9167,Sim,Não,151-122-5015,Bayside,62337,Barra da Tijuca,226005-000,RJ,283.19,6.34
265,Hillier,O'Griffin,1993-04-04 06:13:22.143596,Masculino,hogriffin7c@gmail.com,Não,493-999-2821,Não,Não,977-796-3955,Rockefeller,76,Barra da Tijuca,226004-000,RJ,97.18,11.43
266,Alexei,Gane,2005-06-27 06:13:22.143596,Masculino,agane7d@hotmail.com,Sim,702-775-8987,Não,Não,368-684-1367,Sauthoff,11,Tijuca,205001-000,RJ,303.92,51.06
267,Esmeralda,Hartin,1996-02-06 06:13:22.143596,Feminino,ehartin7e@gmail.com,Sim,700-469-4008,Sim,Sim,743-588-8592,Porter,20419,Barra da Tijuca,226001-000,RJ,410.8,71.82
